daycon-xgb-gpu  | ==========
daycon-xgb-gpu  | == CUDA ==
daycon-xgb-gpu  | ==========
daycon-xgb-gpu  | 
daycon-xgb-gpu  | CUDA Version 12.8.1
daycon-xgb-gpu  | 
daycon-xgb-gpu  | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.
daycon-xgb-gpu  | 
daycon-xgb-gpu  | This container image and its contents are governed by the NVIDIA Deep Learning Container License.
daycon-xgb-gpu  | By pulling and using the container, you accept the terms and conditions of this license:
daycon-xgb-gpu  | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license
daycon-xgb-gpu  | 
daycon-xgb-gpu  | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.
daycon-xgb-gpu  | 
daycon-xgb-gpu  | CatBoost not installed — skipping CAT model
daycon-xgb-gpu  | train (250000, 108), test (50000, 107)
daycon-xgb-gpu  | Layout clusters: 20 clusters for 300 layouts
daycon-xgb-gpu  | Scenario context features added: ~60
daycon-xgb-gpu  | Timeslot rank features added
daycon-xgb-gpu  | after FE: train (250000, 249), test (50000, 248)
daycon-xgb-gpu  | features: 247
daycon-xgb-gpu  | features after TE: 253
daycon-xgb-gpu  | encoded cat cols: ['layout_id', 'scenario_id', 'layout_type', 'layout_cluster']
daycon-xgb-gpu  | 
daycon-xgb-gpu  | === XGBoost Optuna ===
daycon-xgb-gpu  |   Trial   0 | MAE=8.906548 | best=8.906548
daycon-xgb-gpu  |   Trial   1 | MAE=8.922161 | best=8.906548
daycon-xgb-gpu  |   Trial   2 | MAE=8.903802 | best=8.903802
daycon-xgb-gpu  |   Trial   3 | MAE=8.945182 | best=8.903802
daycon-xgb-gpu  |   Trial   4 | MAE=8.898611 | best=8.898611
daycon-xgb-gpu  |   Trial   5 | MAE=8.921368 | best=8.898611
daycon-xgb-gpu  |   Trial   6 | MAE=8.967461 | best=8.898611
daycon-xgb-gpu  |   Trial   7 | MAE=8.957388 | best=8.898611
daycon-xgb-gpu  |   Trial   8 | MAE=8.968680 | best=8.898611
daycon-xgb-gpu  |   Trial   9 | MAE=8.889661 | best=8.889661
daycon-xgb-gpu  |   Trial  10 | MAE=8.893071 | best=8.889661
daycon-xgb-gpu  |   Trial  11 | MAE=8.887460 | best=8.887460
daycon-xgb-gpu  |   Trial  12 | MAE=8.897851 | best=8.887460
daycon-xgb-gpu  |   Trial  13 | MAE=8.896607 | best=8.887460
daycon-xgb-gpu  |   Trial  14 | MAE=8.879614 | best=8.879614
daycon-xgb-gpu  |   Trial  15 | MAE=8.889081 | best=8.879614
daycon-xgb-gpu  |   Trial  16 | MAE=8.899831 | best=8.879614
daycon-xgb-gpu  |   Trial  17 | MAE=8.887533 | best=8.879614
daycon-xgb-gpu  |   Trial  18 | MAE=8.885829 | best=8.879614
daycon-xgb-gpu  |   Trial  19 | MAE=8.888434 | best=8.879614
daycon-xgb-gpu  |   Trial  20 | MAE=8.893788 | best=8.879614
daycon-xgb-gpu  |   Trial  21 | MAE=8.893578 | best=8.879614
daycon-xgb-gpu  |   Trial  22 | MAE=8.883753 | best=8.879614
daycon-xgb-gpu  |   Trial  23 | MAE=8.885095 | best=8.879614
daycon-xgb-gpu  |   Trial  24 | MAE=8.891644 | best=8.879614
daycon-xgb-gpu  |   Trial  25 | MAE=8.889339 | best=8.879614
daycon-xgb-gpu  |   Trial  26 | MAE=8.896711 | best=8.879614
daycon-xgb-gpu  |   Trial  27 | MAE=8.888235 | best=8.879614
daycon-xgb-gpu  |   Trial  28 | MAE=8.893362 | best=8.879614
daycon-xgb-gpu  |   Trial  29 | MAE=8.888359 | best=8.879614
daycon-xgb-gpu  |   Trial  30 | MAE=8.898331 | best=8.879614
daycon-xgb-gpu  |   Trial  31 | MAE=8.886099 | best=8.879614
daycon-xgb-gpu  |   Trial  32 | MAE=8.892379 | best=8.879614
daycon-xgb-gpu  |   Trial  33 | MAE=8.891077 | best=8.879614
daycon-xgb-gpu  |   Trial  34 | MAE=8.881151 | best=8.879614
daycon-xgb-gpu  |   Trial  35 | MAE=8.890993 | best=8.879614
daycon-xgb-gpu  |   Trial  36 | MAE=8.880517 | best=8.879614
daycon-xgb-gpu  |   Trial  37 | MAE=8.898236 | best=8.879614
daycon-xgb-gpu  |   Trial  38 | MAE=8.893593 | best=8.879614
daycon-xgb-gpu  |   Trial  39 | MAE=8.899042 | best=8.879614
daycon-xgb-gpu  |   Trial  40 | MAE=8.900029 | best=8.879614
daycon-xgb-gpu  |   Trial  41 | MAE=8.886862 | best=8.879614
daycon-xgb-gpu  |   Trial  42 | MAE=8.899046 | best=8.879614
daycon-xgb-gpu  |   Trial  43 | MAE=8.892246 | best=8.879614
daycon-xgb-gpu  |   Trial  44 | MAE=8.884007 | best=8.879614
daycon-xgb-gpu  |   Trial  45 | MAE=8.881292 | best=8.879614
daycon-xgb-gpu  |   Trial  46 | MAE=8.893763 | best=8.879614
